pi,age,sex,edu,prog,t_spreadsheet,t_html,t_cms,t_db,t_script,mode,success_rate
4,35,Male,3,1,  F,F,F,F,F,   baseline ,0
5,25,Male,4,2,  F,F,F,F,F,   baseline ,1
6,35,Male,3,1,  F,F,F,F,F,   baseline ,0
8,35,Male,4,1,  F,F,T,F,F,   baseline ,0.2
9,25,Male,4,1,  F,F,T,F,F,   baseline ,0.6
10,35,Male,4,4,  F,F,T,T,T,   baseline ,0.4
12,,Male,4,2,  T,T,T,T,F,   baseline ,0.2
17,35,Male,4,2,  F,F,T,F,T,   baseline ,0.8
19,25,Male,3,1,  T,T,T,F,F,   baseline ,0.4
20,55,Female,4,1,  F,F,T,F,F,   baseline ,0.4
22,,Female,3,1,  F,F,T,F,F,   baseline ,0.4
23,35,Male,4,1,  F,F,F,F,F,   baseline ,0.6
24,35,Female,3,1,  F,F,F,F,F,   baseline ,0.8
25,35,  ,5,3,  F,T,T,T,F,   baseline ,1
30,45,Male,5,1,  F,F,F,F,F,   baseline ,0
1,45,Male,2,1,  F,F,T,F,F,   experimental ,1
2,45,Male,4,1,  F,T,T,T,F,   experimental ,1
3,35,Male,3,3,  T,T,T,F,F,   experimental ,1
7,35,Male,4,3,  T,T,T,T,T,   experimental ,1
11,35,Female,3,1,  F,F,F,F,F,   experimental ,0.8
13,35,Female,3,2,  T,T,T,F,F,   experimental ,1
14,35,Female,4,1,  F,F,T,F,F,   experimental ,0.6
15,45,Female,4,1,  F,F,F,F,F,   experimental ,0.2
16,35,Female,4,2,  F,T,T,F,T,   experimental ,1
18,25,Female,3,2,  F,F,T,T,F,   experimental ,0.8
21,55,Female,4,1,  F,F,F,F,F,   experimental ,0.8
26,35,Female,7,2,  F,F,T,T,T,   experimental ,1
27,35,Male,4,1,  T,F,T,F,F,   experimental ,1
28,35,Male,3,3,  F,T,T,F,F,   experimental ,1
29,35,Male,3,2,  F,F,T,F,T,   experimental ,1
